product,title,rating,body
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",An office chair at reasonable price,4.0,"The AmazonBasics chair is a decent purchase considering the price point. Very easy to assemble. Took just around 30 minutes. Comfortable for short durations since the lower back support is not great. Also, there are no wheel locks which makes the chair less suitable for tiled / granite floors and in turn for home use. I bought it for my home and always need to be conscious of the potential movement whenever I try to stretch!! At least three out of the 5 wheels could have been given simple wheel locks (as in the low priced particle board computer tables).Overall a good furniture and if added with little lower back support and wheel locks, it would be a great furniture."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Ok for occasional use in home,3.0,"I received pretty late due to COVID situation and assembly guy never turned up. After waiting for some time I did the chair assembly my self, it was simple and well explained.Once started using I found its good in normal seating and ergonomic.. but within three weeks I felt not good, cushion is gone and I can feel bottom plank.It’s good for short seating but not so for day long work.I can feel less support on bottom and back now after using for two months. Finally it’s pure Chinese product. Looks good, but durability with quality is not expected from it.If get it in less cost it’s ok for short seatings, I got it at high price so it’s not worth that money. Do not compare or expect like office chairs ."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Not recommended for sitting for long duration,1.0,Very uncomfortable for sitting long duration. No back support. After a day or two the seating area feels like sitting on a hard surface which will create problem in long run. Not a good product from Amazon. Don't buy to work from home or study from home.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Size of chair is not matching as per description. Money return has issue even after sometime 14 days,1.0,"Your browser does not support HTML5 video.


   Description is not matching what the actual chair delivered. Chair was picked up without dismantling.Even after initiating a return, Money is not credited even after 14 days."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Very nice and ergonomic!!,4.0,"Bought this for my son's study table. Amazon delivered this item really fast. Easy assembly, takes around 30 mins reading the instruction booklet supplied with the chair. Nice ergonomic look and comfortable to sit. Only drawback is it does not tilt much, otherwise a nice chair."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Easy to built,5.0,Easy to built. Nice leatherette quality. Comfortable. The wheel are working smoothly. Back rest can be change but not the arm rest part.I find the Amazon basics of great quality and so far i was not disappointed.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Super comfy,5.0,"Best dealSuper comfy, smooth wheels, easy to assemble, wide body and good cushion.Cons, it's not reclining chair so it's a body reclining and it's alright.You have very good wide base you can adjust and be comfortable. You can stretch your body without an issue. Super great chair"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Ok product not value for money,3.0,"My wife feels  comfortable with the product but i face issue with base support, there is some resistance at the base. Also in terms of back support i felt back pain after using it for one week. Over all if u can buy seat comforter with this its good to go"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Decent economical leather chair.,4.0,"Decent chair. Comfortable. Since it is leather can get a bit warm if the room is not properly ventilated or air conditioned.Although the instructions are very easy to follow I spent close to 45 mins or so to assemble and still could not get one the arms to fit in correctly. When the technician arrived he used bit oil and was able to correctly screw one of the arms.At this price range there are not many options available that give you value for the money spent.And of course the chair is made in China, so if you have stopped buying Chinese products, stay away from this one."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown","Chair is good quality , but assembly provider is bad",2.0,"The chair is of good quality and seems reasonably ergonomic. The cushioning is also of good quality.Only downside is that the free provided assembly is unreliable and the provider doesn't show up on the selected time slot.Buy only if you are willing to assemble it yourself and spend 45 minutes on that.In my case the provider simply lied that he was unable to contact me , when i asked the number he called i was given a wrong number. After this numerous attempts to call amazon service to get it assembled at least the next day also failed. The provider finally called me the next day asking me that if my chair got assembled , even when clearly he knew it did not. Then he suggested me for next day ( but i was unavailable for 2 days) , by now the product had been sitting unassembled for 5 days .1 YEAR UPDATE - Chair back padding became very flat and needs extra pillow for lumbar support. Also the back is no longer at 90 degree with the base and is like 105 degrees now which is not good ergonomically. All parts of chair are intact though nothing broken."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",WROST PRODUCT,1.0,"Please don't buy this productConcerns:Not comfortable for sitting, you will get back and neck pains.Height Adjustment Issues.The seat Cushion is not good, It's really hard after 1-2 weeks of usage.It's not worth for money.Unfortunately, I brought it for good ratings (4 Star and Amazon Product)Finally, the Customer Care number won't be connected."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Spend some extra money but get a better chair,1.0,It's hard to assemble on your own and no communication on whether or not someone will be sent for installation. The cushioning is bare minimum and it's not comfortable for long duration sitting. I am using a separate pillow as a cushion for the chair. The leather also feels like a cheap material.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Moderate Rolling chair for home,4.0,Packing was good. Easy to assemble. Solid wheels and rolling mechanism. Back support is good. Thigh support is weak and over the day you will feel not comfortable sitting for long hours.My suggestion - If you are wanting to go for a good chair better invest some more and go for some good ergonomic chairs ard 10K.. if you are looking for budget constrains then this chair is okaish and good enuf.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Good And comfortable chair.,5.0,"Very good chair. Someone recommend me to purchase the Amazon basics product. I was worried since Solimo was bad experience with Amazon but this product is fine...till now after 3 days I feel comfortable, but price should be little more optimised. Let see how it goes after using longer time."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",very good chair in every aspects in very econimical price!!!,5.0,"This chair is very good. Before this chair, I was using the executive chair but after breaking that by my child, I searched a lot of products and found this product. In this price range, this is the best product in comfort and durability...I have purchased this during WFH and I am totally satisfied with this product and delivery service that delivered me this in time!"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Best chair for Low budget,5.0,"The product is perfect. For last 6 years I sat on a hard stool while working on my PC. After buying this chair, it felt so good. In this price, Amazon offers a perfect chair that provides comfort and also helps me to work for hours without backpain. Loving this chair."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown","never buy this chair,price very high website description",1.0,"setting side spunch matarialvery poor,wheel chair cover zip very poorprice very high website description,never buy this chairsuppose, you are buy chair, u don't like chair,return policy very trouble"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Good,4.0,"Good at this price.i bought it on prime day deal,at ?4,899.This will be good for study,sliders working great,it’s so soft and comfortable,no little damage is there,assambly service is good too.Only problem was there was delay of delivery after it arrived in my city,but that’s negligible point after such good product.I will update this review after 1 month of usage."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Half support only for back rest,2.0,The product was delivered by Amazon on 2nd-Jan-2021. Please take note that the back rest is half size hence it is called mid back. (wish it would have been clearly specified). The shoulder support is very poor. The 15.1" length specified is full length than from arm rest which is also deceiving. The chair won't be of great use for long hours as your shoulder will be half supported. It is probably better for kids. Disappointing as Amazon didn't made that very clear on website nor they accepted the argument to return for different model.Secondly it is not reclining but a tilt chair.  Surprised to see high ratings on the chair too.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Seat is not Symantric .one side is up and another side is down,1.0,"This is a made in China Product.Please make the information available to customer like county of Origin.AM not interested in any Chinese product , so as many Amazon customer .So request to amazon and all Indian seller to stop selling china product in IndiaSeat is not Symantric .one side is up and another side is down"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Review after 2 and half years.,3.0,"Writing this review after 2 and half years. In the first 2 years chair was sparingly used.in the last 5 months the chair has been used for 10-11 hours daily due to work from home conditions arising from COVID situation.The rexin in the seat started peeling off ,exposing the foam underneath.The seating portion became very hard  with the steel portion causing a lot of discomfort and pain while sitting.Not worth investing 5k in this product"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Good,4.0,Its mentioned as "mid-back" so no complains for not providing full back support.I am doubtful with the cusion. Its thin. Not sure how long it is going to last.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Good chair for work from home,3.0,"Seat and back rest cushions must be thicker to give more comfort. Except this, the product is easy to assemble and good looking.This product is nice for working from home also.For back support, one can use lumber support also.Back rest is fixed, at the time of tilting, seat and back tilts altogether, it is not reclining-back type."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",A word for my long-limbed-homies...,4.0,"Fairly decent. I wouldn't say it is fantastic, but it does the job. I'm 5'4"" and I felt that I would have preferred the seat to reach a little further than just my mid thigh. But it probably works better for others with different body types. I feel tall folks might have trouble.Pros:1. Soft leather seating2. Arm rest height is decent3. Easy to assemble4. Soft on my back!Cons:1. The recline could be better2. Could have added more height variation, but that's just my opinion."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Without an adjustable backrest this is an uncomfortable chair,2.0,"The back rest is stiff, making it uncomfortable. The only thing you can adjust in this chair is the height. The wheels are very unstable, you have to make an effort to keep it in a stationary position - this is a design flaw.Finally, because of all these, its not worth the money."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Not worth,1.0,After use of six monthsPros1.easy to assemble2. Seat cover material is good.Cons1. No cushioning. You will feel seat base after a few minutes2. Seat back not designed as per required norms. No comfort at all.3. No back and fro rocking movement.4. Chair not worth more than 2000
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Overall Good Chair,4.0,Overall Good Chair except few observationsGood things :1. Very light weight2. Easy to move and spin aroundBad:1. Doesn't have great cushioning. If you looking for extreme comfort for long hours then better go for another one.2. May not suit very tall people as the back support is short.3. Very sensitive top layer prone to wear and tear so better have to handle carefully not to bump onto other things. If you looking for very durable chair then better but more expensive one.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Sturdy But Bad Cushioning,2.0,"The cushion on both the backrest and the seat is very thin. It is thin to the point of being impractical for an office chair. One has to get an extra pair of cushions to make the chair usable. The mechanicals seem sturdy. Hopefully, it will last."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Tough to assemble/poor assembly support,1.0,Bad cushion. Extremely uncomfortableAssembly was initially promised but then converted to DIY. Time consuming DIY ProcessBad product with no regret return policy(You can't return if you don't like it)Would strongly advise against thisHave used this for a few months now. Difficult to sit comfortably for more than an hour
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Good for the back. Easy on the pocket.,5.0,"Excellent chair. Very sturdy and comfortable. The coasters are very smooth. What’s more it’s very easy to assemble. Lastly, it offers very good lower and mid back support."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Not worth of rs 5000 for sure,2.0,Definitely not a 5000 rs product.. The feather leather is vOf very poor quality.. Overall chair is not very comfortable.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Not suitable for people with long thigh,3.0,"Not suitable for tall people. Chair has a slight forward slope. Not much adjustable. Just an average product. Not returnable , Amazon staff rejected my return request. Not happy with the product. So 3 stars , maximum.."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Little difficult to Assemble. Good comfort,4.0,"The Chair was difficult to assemble. Some components are easy, but the back and seat are very difficult. I had to hire a carpenter to do that. Thats an additional 500 Rs.Usage experience is very good"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Good one but not too good,3.0,"my first order after lockdown and delivery was delayed (which is ok), easy to Assemble with provided DIY tool.Ergonomic and back drop is seat cushion it isn't good at all at this price, could have been more better.Apart from cushion everything is good and not a fancy chair."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Decent chair,3.0,"The quality isn't great, not suitable if you are going sit for straight 4hrs or more. Comfort wise it is decent.I got it for 5.2k, in this price range its worth but anything more than 5.5k for this not worth it"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Four Stars,3.0,"*edit after 1 year.The hinge supporting the height adjustment is misbehaving, you can be sunk in slowly while sitting which is very annoying to set it again and again. Hope amazon has any fix for this.The height could have been more for 5-11, 6 feet people"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Chair is good,4.0,"Quality of the chair is really good, very comfortable to sit . But no support from vendor for installation . You have to install yourself which was quite difficult . One screw was missing ."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown","Nice,  but a mechanical issue.",4.0,"It has nice cushioning and comfort. Material quality is also good. But, height adjustment mechanism malfunctions. It drops on its own while I'm seated."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Best in the market. Comfy.,5.0,I would recommend this chair for people who need to work for continuous hours. This chair is comfortable and comes with a premium look. The build quality in this price range is a win. It does reclines back(the whole seat though).
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",buy a baby chair instead,1.0,this chair is neither ergonomic nor fitting for adults. Just another example of Amazon trying to sell cheap stuff just by affixing its label on finicky hardware
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",The leather quality is poor,3.0,"The frame is good, with decent support but the leather started weathering within a year and now its torn and and weathered at all places in less than 2 years"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Chair seat cover is torn,1.0,"The chair I received, seat leather is torn. Even the packaging tape was broken from down."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Very comfortable chair,5.0,I finally got this chair after waiting for lots of time. This chair is beautiful and support comfortable. Very solid and stronge. Price also was gud as got a discount in same season.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Dont go for it. Cheap quality product. Cant return as per policy,1.0,"This is definitely not an acceptable quality from Amazon brand. Chair cushion material is very sensitive and stitches made to that matErial are ready to cut loose after few days. A Lesson, not to choose by brand. Sad part is I cant return the product like some mistakes cant be corrected.  Stay away. Save your money."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Not recommended,2.0,"This chair will not last long at all. The instructions are in Chinese which gives me an impression its a chinese product and yet recommended and promoted by amazon india. The chair is wholly made of plastic but gives you and impression there is metal skeleton inside, its absolutely not. Very fragile and only good for use upto 1 year."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Great chair,5.0,Easy to assemble chair. All materials are provided. Took about 45 mins to assemble. The quality of product is very nice. Happy with the purchase
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Comfortable & Good quality Chair,5.0,"I found the chair to be really good value for money. Very suitable for work from home. Cushion support is good. Overall this is an excellent product, so go ahead and get it for your home."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Worst quality for such a huge price. The skin is worn out so quickly and is not ergonomic.,1.0,Worst quality for such a huge price. The skin is worn out so quickly and is not ergonomic. Tuff to sit for more than an hour.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Comfortable but not durable,3.0,Chair cloth started tearing in 4 to 5 months. Finally it's plastic is broken after using it for one and half years.Not very durable but it was comfortable until it broke.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Cool office chair,4.0,"Like - nice qualityDislike - head rest is not available, push back not availableGood for home office"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Not good for sitting and working long hours.,2.0,"The chair is not at all comfortable to sit and work for long hours. The sitting position on the sitting vision is not flat, hence causes strain in the lower back.Regret buying this chair."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Do not buy!!!,2.0,The cushioning is really poor. This chair is not worth more than 3500. Amazon has different return policies for customer. They only accept returns if product is damaged or defected. But policy doesn't talks about quality of the product which is definitely poor. Do not fall into this trap.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown","Not comfortable, very less cushion.",1.0,"Not comfortable at all. Started back pain after using this. By the time I realized the return window was over. Stuck with this problematic chair. Arm rests are a bit angled, they are also not comfortable.  Not expected this low quality from Amazon brand."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Serves the basic need,5.0,"the chair is comfortable. Build quality looks good. All in all, a good product in this price range."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Worst quality,1.0,"After using 6 months, the outer cover is coming out. Quality is very poor, it is total waste of spending around 7K for a chair, which you could not use for a year also! Please do not purchase if you are buying for WFH purpose."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Good quality easy to assemble,5.0,"Super easy to assemble - took around 30 minutes, support has been good for lower back - good value for money"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Not worth the price.,1.0,Worst chair. Not worth the price. Can't get back straight. Trust me don't buy this. Go and buy from actual store.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Over all it is OK.,4.0,"If adjustable arm rest could have been provided, it would have been very nice.Amazon should seriously consider about it.Look and comfort wise, its good."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Worst Product quality from AmazonBasic,1.0,I purchased this on 18th of June and after 15 Days i saw there are numbers of small whole in backside leather. I contacted Amazon but they ask to contact to AmazonBasic 18004190416 but this number is never reachable.Please don't buy this product as quality is very bad. it is totally waste of Money.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",An eyesore after an year,2.0,"Build is fine, but the faux leather covering wears away after an year. Have a look at the eye sore in the attached picture."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Good Chair,5.0,Worth the price. Assembly is easy and I feel it is worth the price. I had used this same chair before and had to sell it because I needed to move. That first purchase lasted without any wear and tear for 3 years. Great longevity.Was very happy to buy it again for my new apartment.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown","Will peel away and make a mess on the floor within 1-2 yrs, Don't Buy",1.0,"Will peel away and make a mess on the floor within 1-2 yrs, don't buy this. The choice of materials was probably bad, Amazon's own brand should have done some R&D / testing on the material quality before manufacture."
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Office Chair,5.0,A good product.  The chair is comfortable to sit all day.  The wheels ensure easy turning and movement.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown","Worst product, cheap quality, Made in china",1.0,"Worst product, cheap quality, not at all comfortable, made in chinacouldn't return it due to lost packing box and bill, waste of my  money, a BIG NO,wish the origin of the product was mentioned"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Awesome chair ??,5.0,Chair is no doubt fantastic and i am in love with it ??But had to assemble it myself as that guy assigned never showed up.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Kinda okay,2.0,This is a no return product and it is not as comfortable for long hours since you can't bend it backwards. You need to sit straight with your back up at all times. You won't be able to lean back and relax in between the times you're working. The product is otherwise good quality.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",If your not ready to spend more money this is ok at this range,3.0,It is Easy to assembel and Decent leather quality but not very satisfied with this product as only height can be adjustable but not front to back which is very important and if you want to work for long time you have to purchase supporter again.
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Don’t buy unless getting it assembled by amazon,2.0,"Even if one is hands on, it’s almost impossible to assemble the chair. Th nuts are very very difficult to align..if it helps, I am an engineer from IIT!"
"AmazonBasics Faux Leather Mid-Back Office Chair, Brown",Very Pudgy Chair: do not buy,1.0,"Looks comfortable but not suitable for an office. Extremely slouchy and one needs an extra cushion for back support while working at a desk. Amazon customer service, please help! We ordered this chair but have used it only recently. The return window was only till 17th august 2019."
